target=v700  context=['u700', 't700', 'z500']  in_ch=6
121 dates -> 103 train / 18 val
bg_rms(v700)=5.253e-01  r_std=5.252e-01
UQNet params: 151k
ep  1  train_nll=+0.4970  val_imp=+0.6%  cov90=0.91
ep  2  train_nll=+0.4090  val_imp=+3.6%  cov90=0.89
ep  3  train_nll=+0.3528  val_imp=+3.8%  cov90=0.92
ep  4  train_nll=+0.3398  val_imp=+4.0%  cov90=0.89
ep  5  train_nll=+0.3199  val_imp=+4.2%  cov90=0.92
ep  6  train_nll=+0.3169  val_imp=+4.2%  cov90=0.92
ep  7  train_nll=+0.3165  val_imp=+4.3%  cov90=0.92
ep  8  train_nll=+0.3101  val_imp=+4.3%  cov90=0.91
ep  9  train_nll=+0.3094  val_imp=+4.5%  cov90=0.92
ep 10  train_nll=+0.3067  val_imp=+4.6%  cov90=0.91
ep 11  train_nll=+0.2989  val_imp=+4.7%  cov90=0.89
ep 12  train_nll=+0.2994  val_imp=+4.8%  cov90=0.90
ep 13  train_nll=+0.2938  val_imp=+4.8%  cov90=0.89
ep 14  train_nll=+0.3021  val_imp=+4.9%  cov90=0.90
ep 15  train_nll=+0.2940  val_imp=+4.9%  cov90=0.92
ep 16  train_nll=+0.2921  val_imp=+4.9%  cov90=0.90
ep 17  train_nll=+0.2918  val_imp=+4.9%  cov90=0.91
ep 18  train_nll=+0.2878  val_imp=+5.0%  cov90=0.89
ep 19  train_nll=+0.2896  val_imp=+5.1%  cov90=0.91
ep 20  train_nll=+0.2810  val_imp=+5.1%  cov90=0.91
ep 21  train_nll=+0.2864  val_imp=+5.0%  cov90=0.93
ep 22  train_nll=+0.2863  val_imp=+5.1%  cov90=0.91
ep 23  train_nll=+0.2874  val_imp=+5.1%  cov90=0.91
ep 24  train_nll=+0.2816  val_imp=+5.2%  cov90=0.92
ep 25  train_nll=+0.2784  val_imp=+5.1%  cov90=0.90
ep 26  train_nll=+0.2816  val_imp=+5.2%  cov90=0.92
ep 27  train_nll=+0.2864  val_imp=+5.3%  cov90=0.92
ep 28  train_nll=+0.2843  val_imp=+5.3%  cov90=0.92
ep 29  train_nll=+0.2812  val_imp=+5.3%  cov90=0.91
ep 30  train_nll=+0.2753  val_imp=+5.3%  cov90=0.90
ep 31  train_nll=+0.2827  val_imp=+5.4%  cov90=0.91
ep 32  train_nll=+0.2745  val_imp=+5.3%  cov90=0.88
ep 33  train_nll=+0.2789  val_imp=+5.4%  cov90=0.91
ep 34  train_nll=+0.2763  val_imp=+5.4%  cov90=0.90
ep 35  train_nll=+0.2726  val_imp=+5.4%  cov90=0.90
ep 36  train_nll=+0.2798  val_imp=+5.4%  cov90=0.89
ep 37  train_nll=+0.2747  val_imp=+5.4%  cov90=0.92
ep 38  train_nll=+0.2665  val_imp=+5.4%  cov90=0.90
ep 39  train_nll=+0.2786  val_imp=+5.4%  cov90=0.90
ep 40  train_nll=+0.2802  val_imp=+5.5%  cov90=0.90
ep 41  train_nll=+0.2706  val_imp=+5.4%  cov90=0.91
ep 42  train_nll=+0.2731  val_imp=+5.5%  cov90=0.90
ep 43  train_nll=+0.2703  val_imp=+5.5%  cov90=0.92
ep 44  train_nll=+0.2741  val_imp=+5.5%  cov90=0.90
ep 45  train_nll=+0.2751  val_imp=+5.5%  cov90=0.90
ep 46  train_nll=+0.2705  val_imp=+5.5%  cov90=0.90
ep 47  train_nll=+0.2725  val_imp=+5.6%  cov90=0.90
ep 48  train_nll=+0.2754  val_imp=+5.6%  cov90=0.92
ep 49  train_nll=+0.2697  val_imp=+5.6%  cov90=0.91
ep 50  train_nll=+0.2673  val_imp=+5.5%  cov90=0.90
ep 51  train_nll=+0.2765  val_imp=+5.6%  cov90=0.91
ep 52  train_nll=+0.2686  val_imp=+5.7%  cov90=0.89
ep 53  train_nll=+0.2666  val_imp=+5.7%  cov90=0.91
ep 54  train_nll=+0.2686  val_imp=+5.6%  cov90=0.91
ep 55  train_nll=+0.2715  val_imp=+5.6%  cov90=0.90
ep 56  train_nll=+0.2712  val_imp=+5.5%  cov90=0.89
ep 57  train_nll=+0.2726  val_imp=+5.7%  cov90=0.90
ep 58  train_nll=+0.2686  val_imp=+5.6%  cov90=0.90
ep 59  train_nll=+0.2671  val_imp=+5.8%  cov90=0.90
ep 60  train_nll=+0.2622  val_imp=+5.7%  cov90=0.91
ep 61  train_nll=+0.2674  val_imp=+5.7%  cov90=0.91
ep 62  train_nll=+0.2645  val_imp=+5.7%  cov90=0.90
ep 63  train_nll=+0.2696  val_imp=+5.7%  cov90=0.91
ep 64  train_nll=+0.2703  val_imp=+5.8%  cov90=0.91
ep 65  train_nll=+0.2609  val_imp=+5.7%  cov90=0.90
ep 66  train_nll=+0.2628  val_imp=+5.8%  cov90=0.89
ep 67  train_nll=+0.2619  val_imp=+5.8%  cov90=0.91
ep 68  train_nll=+0.2631  val_imp=+5.8%  cov90=0.91
ep 69  train_nll=+0.2629  val_imp=+5.8%  cov90=0.91
ep 70  train_nll=+0.2658  val_imp=+5.8%  cov90=0.90
ep 71  train_nll=+0.2666  val_imp=+5.7%  cov90=0.91
ep 72  train_nll=+0.2618  val_imp=+5.8%  cov90=0.89
ep 73  train_nll=+0.2655  val_imp=+5.8%  cov90=0.91
ep 74  train_nll=+0.2649  val_imp=+5.8%  cov90=0.91
ep 75  train_nll=+0.2651  val_imp=+5.8%  cov90=0.90
ep 76  train_nll=+0.2669  val_imp=+5.8%  cov90=0.90
ep 77  train_nll=+0.2681  val_imp=+5.8%  cov90=0.90
ep 78  train_nll=+0.2578  val_imp=+5.8%  cov90=0.91
ep 79  train_nll=+0.2635  val_imp=+5.8%  cov90=0.90
ep 80  train_nll=+0.2581  val_imp=+5.9%  cov90=0.90
saved best (val_imp=+5.9%) -> /root/cnn_v700_best.pt
