target=u700  context=['v700', 't700', 'z500']  in_ch=6
121 dates -> 103 train / 18 val
bg_rms(u700)=5.288e-01  r_std=5.288e-01
UQNet params: 151k
ep  1  train_nll=+0.5009  val_imp=+0.5%  cov90=0.90
ep  2  train_nll=+0.4194  val_imp=+3.7%  cov90=0.91
ep  3  train_nll=+0.3560  val_imp=+4.1%  cov90=0.92
ep  4  train_nll=+0.3352  val_imp=+4.2%  cov90=0.90
ep  5  train_nll=+0.3156  val_imp=+4.3%  cov90=0.91
ep  6  train_nll=+0.3090  val_imp=+4.4%  cov90=0.93
ep  7  train_nll=+0.3052  val_imp=+4.4%  cov90=0.91
ep  8  train_nll=+0.3017  val_imp=+4.4%  cov90=0.91
ep  9  train_nll=+0.2997  val_imp=+4.4%  cov90=0.91
ep 10  train_nll=+0.2980  val_imp=+4.3%  cov90=0.91
ep 11  train_nll=+0.2887  val_imp=+4.6%  cov90=0.89
ep 12  train_nll=+0.2896  val_imp=+4.4%  cov90=0.90
ep 13  train_nll=+0.2837  val_imp=+4.7%  cov90=0.89
ep 14  train_nll=+0.2882  val_imp=+4.7%  cov90=0.89
ep 15  train_nll=+0.2812  val_imp=+4.7%  cov90=0.92
ep 16  train_nll=+0.2832  val_imp=+4.7%  cov90=0.89
ep 17  train_nll=+0.2825  val_imp=+4.8%  cov90=0.90
ep 18  train_nll=+0.2787  val_imp=+4.8%  cov90=0.90
ep 19  train_nll=+0.2810  val_imp=+4.8%  cov90=0.92
ep 20  train_nll=+0.2690  val_imp=+4.9%  cov90=0.90
ep 21  train_nll=+0.2779  val_imp=+4.9%  cov90=0.94
ep 22  train_nll=+0.2761  val_imp=+5.0%  cov90=0.90
ep 23  train_nll=+0.2776  val_imp=+5.0%  cov90=0.90
ep 24  train_nll=+0.2701  val_imp=+5.0%  cov90=0.91
ep 25  train_nll=+0.2691  val_imp=+5.1%  cov90=0.90
ep 26  train_nll=+0.2716  val_imp=+5.1%  cov90=0.92
ep 27  train_nll=+0.2745  val_imp=+5.1%  cov90=0.91
ep 28  train_nll=+0.2733  val_imp=+5.1%  cov90=0.91
ep 29  train_nll=+0.2700  val_imp=+5.2%  cov90=0.90
ep 30  train_nll=+0.2649  val_imp=+5.1%  cov90=0.91
ep 31  train_nll=+0.2725  val_imp=+5.2%  cov90=0.91
ep 32  train_nll=+0.2622  val_imp=+5.3%  cov90=0.89
ep 33  train_nll=+0.2653  val_imp=+5.3%  cov90=0.90
ep 34  train_nll=+0.2637  val_imp=+5.3%  cov90=0.91
ep 35  train_nll=+0.2604  val_imp=+5.2%  cov90=0.90
ep 36  train_nll=+0.2689  val_imp=+5.3%  cov90=0.89
ep 37  train_nll=+0.2613  val_imp=+5.3%  cov90=0.90
ep 38  train_nll=+0.2542  val_imp=+5.3%  cov90=0.90
ep 39  train_nll=+0.2682  val_imp=+5.3%  cov90=0.90
ep 40  train_nll=+0.2677  val_imp=+5.4%  cov90=0.90
ep 41  train_nll=+0.2579  val_imp=+5.4%  cov90=0.92
ep 42  train_nll=+0.2602  val_imp=+5.4%  cov90=0.91
ep 43  train_nll=+0.2561  val_imp=+5.4%  cov90=0.93
ep 44  train_nll=+0.2640  val_imp=+5.4%  cov90=0.90
ep 45  train_nll=+0.2637  val_imp=+5.4%  cov90=0.91
ep 46  train_nll=+0.2566  val_imp=+5.4%  cov90=0.91
ep 47  train_nll=+0.2606  val_imp=+5.4%  cov90=0.90
ep 48  train_nll=+0.2632  val_imp=+5.4%  cov90=0.91
ep 49  train_nll=+0.2548  val_imp=+5.5%  cov90=0.90
ep 50  train_nll=+0.2554  val_imp=+5.5%  cov90=0.91
ep 51  train_nll=+0.2620  val_imp=+5.5%  cov90=0.92
ep 52  train_nll=+0.2564  val_imp=+5.5%  cov90=0.89
ep 53  train_nll=+0.2529  val_imp=+5.5%  cov90=0.93
ep 54  train_nll=+0.2551  val_imp=+5.5%  cov90=0.91
ep 55  train_nll=+0.2571  val_imp=+5.5%  cov90=0.92
ep 56  train_nll=+0.2578  val_imp=+5.5%  cov90=0.91
ep 57  train_nll=+0.2592  val_imp=+5.5%  cov90=0.89
ep 58  train_nll=+0.2556  val_imp=+5.6%  cov90=0.90
ep 59  train_nll=+0.2573  val_imp=+5.6%  cov90=0.91
ep 60  train_nll=+0.2531  val_imp=+5.6%  cov90=0.91
ep 61  train_nll=+0.2573  val_imp=+5.6%  cov90=0.89
ep 62  train_nll=+0.2551  val_imp=+5.6%  cov90=0.90
ep 63  train_nll=+0.2598  val_imp=+5.6%  cov90=0.89
ep 64  train_nll=+0.2603  val_imp=+5.6%  cov90=0.89
ep 65  train_nll=+0.2516  val_imp=+5.6%  cov90=0.91
ep 66  train_nll=+0.2527  val_imp=+5.5%  cov90=0.90
ep 67  train_nll=+0.2520  val_imp=+5.7%  cov90=0.90
ep 68  train_nll=+0.2522  val_imp=+5.7%  cov90=0.88
ep 69  train_nll=+0.2520  val_imp=+5.7%  cov90=0.90
ep 70  train_nll=+0.2535  val_imp=+5.7%  cov90=0.90
ep 71  train_nll=+0.2569  val_imp=+5.7%  cov90=0.91
ep 72  train_nll=+0.2484  val_imp=+5.7%  cov90=0.90
ep 73  train_nll=+0.2557  val_imp=+5.7%  cov90=0.91
ep 74  train_nll=+0.2549  val_imp=+5.7%  cov90=0.91
ep 75  train_nll=+0.2549  val_imp=+5.4%  cov90=0.91
ep 76  train_nll=+0.2550  val_imp=+5.7%  cov90=0.91
ep 77  train_nll=+0.2562  val_imp=+5.7%  cov90=0.89
ep 78  train_nll=+0.2471  val_imp=+5.8%  cov90=0.91
ep 79  train_nll=+0.2501  val_imp=+5.7%  cov90=0.91
ep 80  train_nll=+0.2463  val_imp=+5.7%  cov90=0.90
saved best (val_imp=+5.8%) -> /root/cnn_u700_best.pt
